data,MARKER_ESTIMATE
2025-12-31,392.7775037898819
2026-01-01,400.8491022401479
2026-01-02,402.30503167469107
2026-01-05,403.7704855464673
2026-01-06,393.6203172833879
2026-01-07,394.42240936822833
2026-01-08,403.4227075124756
2026-01-09,392.41940113376404
2026-01-12,380.8424975020519
2026-01-13,386.54128100547285
2026-01-14,396.1528952468442
2026-01-15,402.87003541142496
2026-01-16,415.7939952095895
2026-01-19,418.6017250254707
2026-01-20,413.3815068718463
2026-01-21,407.9008186855867
2026-01-22,389.3285584466031
2026-01-23,396.9094635058529
2026-01-26,418.9302250532747
2026-01-27,413.93061872618676
2026-01-28,411.317831202057
2026-01-29,407.91947810269335
2026-01-30,421.0189395549573
2026-02-02,429.4234463045746
2026-02-03,436.31405467960496
2026-02-04,431.33923121082046
2026-02-05,415.1477402807074
2026-02-06,423.3698872329961
2026-02-09,416.2772329922134
2026-02-10,403.74358911320184
2026-02-11,400.0875246579101
2026-02-12,396.29831903105924
2026-02-13,393.79951850193584
2026-02-16,393.3983740856712
2026-02-17,381.2710867083615
2026-02-18,375.8928414985417
2026-02-19,373.6920759745207
2026-02-20,373.8499872431759
2026-02-23,371.1632778080112
2026-02-24,373.34619180810773
2026-02-25,380.2943615517187
2026-02-26,388.3595265971426
2026-02-27,378.70396393032
2026-03-02,377.35886926060334
2026-03-03,382.1359927479836
2026-03-04,388.5899458710098
2026-03-05,376.95245745474415
2026-03-06,383.4122200607068
2026-03-09,383.93419948470114
2026-03-10,390.0837964917377
2026-03-11,384.75225503262897
2026-03-12,373.54148681258664
2026-03-13,380.6042059585888
2026-03-16,385.3879165261774
2026-03-17,376.39781173510875
2026-03-18,368.3825082164377
2026-03-19,370.6976124841687
2026-03-20,365.7652734199129
2026-03-23,369.8669996738824
2026-03-24,372.4953222738916
2026-03-25,362.2987579905655
2026-03-26,378.54174534226416
2026-03-27,391.3678269109413
2026-03-30,389.5792407468053
2026-03-31,386.89524421864644
2026-04-01,371.5262846596099
2026-04-02,372.8593786331662
2026-04-03,373.7685469252219
2026-04-06,377.7541413925938
2026-04-07,373.6798735685796
2026-04-08,361.66725045867906
2026-04-09,380.5038175424028
2026-04-10,388.036346407826
2026-04-13,408.3707963968886
2026-04-14,402.24525789273844
2026-04-15,401.5940715457954
2026-04-16,418.41831745877425
2026-04-17,420.8147935587348
2026-04-20,435.42040657149323
2026-04-21,426.17780596342664
2026-04-22,443.3561025105362
2026-04-23,462.8290743525301
2026-04-24,460.24606185556553
2026-04-27,465.69554068006624
2026-04-28,469.1435800838367
2026-04-29,457.12828202783317
2026-04-30,445.0035769197362
2026-05-01,454.8054653762561
2026-05-04,467.1477809521692
2026-05-05,473.75309192898897
2026-05-06,458.9762289749025
2026-05-07,451.1963359729398
2026-05-08,455.33123933148124
2026-05-11,475.01490527051885
2026-05-12,474.42616470278557
2026-05-13,463.8635908164607
2026-05-14,479.6578459080982
2026-05-15,477.1694605435848
2026-05-18,465.0328171126695
2026-05-19,462.9994483936141
2026-05-20,468.8535658413754
2026-05-21,461.262690797526
2026-05-22,471.4553252551246
2026-05-25,470.97122629028604
2026-05-26,479.54225719950676
2026-05-27,473.8616473330158
2026-05-28,489.73535826896176
2026-05-29,483.27492011250456
2026-06-01,495.35597515851435
2026-06-02,506.9077342172909
2026-06-03,502.6838748099113
2026-06-04,490.39201178948235
2026-06-05,477.32290265101653
2026-06-08,472.91065261179364
2026-06-09,471.14431287662336
2026-06-10,489.75455737288377
2026-06-11,511.6143987090885
2026-06-12,498.6977921349753
2026-06-15,503.0983642207851
2026-06-16,511.9860805802579
2026-06-17,526.5448808139934
2026-06-18,524.846572225126
2026-06-19,534.541680293269
2026-06-22,536.2220685237695
2026-06-23,520.8766531992342
2026-06-24,513.685156947365
2026-06-25,512.6964892970753
2026-06-26,508.608848526184
2026-06-29,514.335021161709
2026-06-30,511.38975179655534
