data,MARKER_ESTIMATE
2025-12-31,391.4163914826565
2026-01-01,398.075749428446
2026-01-02,398.13712273645365
2026-01-05,398.2026834259173
2026-01-06,386.84725754479234
2026-01-07,386.292254339612
2026-01-08,393.73784608990036
2026-01-09,381.67146786865703
2026-01-12,369.1280360936939
2026-01-13,373.3532293908958
2026-01-14,381.3109420846829
2026-01-15,386.43264135028045
2026-01-16,397.4472101825379
2026-01-19,398.7444548320032
2026-01-20,392.40731078480155
2026-01-21,385.86290176624965
2026-01-22,367.01778829603995
2026-01-23,372.867652926773
2026-01-26,392.19075613924366
2026-01-27,386.1674051022572
2026-01-28,382.4001037898248
2026-01-29,377.92646970998277
2026-01-30,388.71106505766676
2026-02-02,395.0967219981503
2026-02-03,400.04539854228994
2026-02-04,394.11361620534
2026-02-05,378.00501440528643
2026-02-06,384.15567274679967
2026-02-09,376.4110358993801
2026-02-10,363.81259601395715
2026-02-11,359.2688009461191
2026-02-12,354.6329854702967
2026-02-13,351.1757202495341
2026-02-16,349.6022867851222
2026-02-17,337.6509526720899
2026-02-18,331.7344429521269
2026-02-19,328.64936851416763
2026-02-20,327.64887905569407
2026-02-23,324.16693949538995
2026-02-24,324.9434957194878
2026-02-25,329.84386587628006
2026-02-26,335.6718264118566
2026-02-27,326.19190762579046
2026-03-02,323.90697231970154
2026-03-03,326.87076756013835
2026-03-04,331.2394848710023
2026-03-05,320.2060423096516
2026-03-06,324.56471027740474
2026-03-09,323.8803122086994
2026-03-10,327.92767039942316
2026-03-11,322.324806073154
2026-03-12,311.84860257524485
2026-03-13,316.64376843340705
2026-03-16,319.51250413271276
2026-03-17,310.9777079487833
2026-03-18,303.3008112904379
2026-03-19,304.14925948622795
2026-03-20,299.06242308495814
2026-03-23,301.3681589223695
2026-03-24,302.45795191184175
2026-03-25,293.1591352538245
2026-03-26,305.24093135080886
2026-03-27,314.4897633446851
2026-03-30,311.9676796800967
2026-03-31,308.7447563162733
2026-04-01,295.45282481218214
2026-04-02,295.4854336423097
2026-04-03,295.17947796934976
2026-04-06,297.2932478137865
2026-04-07,293.0676768219905
2026-04-08,282.66354534390297
2026-04-09,296.35484978202425
2026-04-10,301.1742449818906
2026-04-13,315.858452731411
2026-04-14,310.0424516996896
2026-04-15,308.46786363139074
2026-04-16,320.2769798102714
2026-04-17,320.99512564641196
2026-04-20,330.985235134506
2026-04-21,322.8368299400076
2026-04-22,334.6858400992293
2026-04-23,348.1750799707915
2026-04-24,345.0321268049838
2026-04-27,347.9076164331118
2026-04-28,349.2689976958075
2026-04-29,339.144481526105
2026-04-30,329.00505307371316
2026-05-01,335.0866643913041
2026-05-04,342.9873973082031
2026-05-05,346.6317445582144
2026-05-06,334.65619739965945
2026-05-07,327.8435515840682
2026-05-08,329.7015068965321
2026-05-11,342.7623605884803
2026-05-12,341.1512157363496
2026-05-13,332.39997272939087
2026-05-14,342.5268729209385
2026-05-15,339.56908195673594
2026-05-18,329.7854607383486
2026-05-19,327.2056391047859
2026-05-20,330.19457417053565
2026-05-21,323.72291352409667
2026-05-22,329.7296950549685
2026-05-25,328.24966637912877
2026-05-26,333.0651588908882
2026-05-27,327.97918653995157
2026-05-28,337.79139982441114
2026-05-29,332.18023526094936
2026-06-01,339.30428138836356
2026-06-02,346.0136679988498
2026-06-03,341.9414066192841
2026-06-04,332.42412174291877
2026-06-05,322.443642762517
2026-06-08,318.35600479085815
2026-06-09,316.067837630619
2026-06-10,327.413996602482
2026-06-11,340.84263711749486
2026-06-12,331.0861446748691
2026-06-15,332.85023626992785
2026-06-16,337.5565358318189
2026-06-17,345.9522545727239
2026-06-18,343.64144666277843
2026-06-19,348.77644849505305
2026-06-22,348.6604314704189
2026-06-23,337.5089349868574
2026-06-24,331.69567029444806
2026-06-25,329.9100399825944
2026-06-26,326.1455846322578
2026-06-29,328.67456092816565
2026-06-30,325.6600000000001
